data_hora,corrente,potencia,energia
2026-03-05T16:37:46,0.059,22.5,0.000
2026-03-05T16:38:46,0.085,32.5,0.541
2026-03-05T16:39:46,0.097,36.7,1.154
2026-03-05T16:40:46,0.115,43.5,1.879
2026-03-05T16:41:46,0.050,19.0,2.196
2026-03-05T16:42:46,0.047,18.0,2.496
2026-03-05T16:43:46,0.108,41.0,3.180
2026-03-05T16:44:46,0.085,32.3,3.718
2026-03-05T16:45:46,0.086,32.6,4.262
2026-03-05T16:46:46,0.088,33.6,4.822
2026-03-05T16:47:46,0.073,27.6,5.281
2026-03-05T16:48:46,0.000,0.0,5.281
2026-03-05T16:49:46,0.000,0.0,5.281
2026-03-05T16:50:46,0.000,0.0,5.281
2026-03-05T16:51:46,0.000,0.0,5.281
2026-03-05T16:52:46,0.000,0.0,5.281
2026-03-05T16:53:46,0.000,0.0,5.281
2026-03-05T16:54:46,0.000,0.0,5.281
2026-03-05T16:55:46,0.000,0.0,5.281
2026-03-05T16:56:46,0.000,0.0,5.281
2026-03-05T16:57:46,0.000,0.0,5.281
2026-03-05T16:58:46,0.000,0.0,5.281
2026-03-05T16:59:46,0.000,0.0,5.281
2026-03-05T17:00:46,0.000,0.0,5.281
2026-03-05T17:01:46,0.000,0.0,5.281
2026-03-05T17:02:46,0.000,0.0,5.281
2026-03-05T17:03:46,0.000,0.0,5.281
2026-03-05T17:04:46,0.000,0.0,5.281
2026-03-05T17:05:46,0.000,0.0,5.281
2026-03-05T17:06:46,0.000,0.0,5.281
2026-03-05T17:07:46,0.000,0.0,5.281
2026-03-05T17:08:46,0.000,0.0,5.281
2026-03-05T17:09:46,0.000,0.0,5.281
2026-03-05T17:10:46,0.000,0.0,5.281
2026-03-05T17:11:46,0.000,0.0,5.281
2026-03-05T17:12:46,0.000,0.0,5.281
2026-03-05T17:13:46,0.000,0.0,5.281
2026-03-05T17:14:46,0.000,0.0,5.281
2026-03-05T17:15:46,0.000,0.0,5.281
2026-03-05T17:16:46,0.000,0.0,5.281
2026-03-05T17:17:46,0.000,0.0,5.281
2026-03-05T17:18:46,0.000,0.0,5.281
2026-03-05T17:19:46,0.000,0.0,5.281
2026-03-05T17:20:46,0.000,0.0,5.281
2026-03-05T17:21:46,0.000,0.0,5.281
2026-03-05T17:22:46,0.000,0.0,5.281
2026-03-05T17:23:46,0.000,0.0,5.281
2026-03-05T17:24:46,0.000,0.0,5.281
2026-03-05T17:25:46,0.000,0.0,5.281
2026-03-05T17:26:46,0.000,0.0,5.281
2026-03-05T17:27:46,0.000,0.0,5.281
2026-03-05T17:28:46,0.000,0.0,5.281
2026-03-05T17:29:46,0.000,0.0,5.281
2026-03-05T17:30:46,0.000,0.0,5.281
2026-03-05T17:31:46,0.000,0.0,5.281
2026-03-05T17:32:46,0.000,0.0,5.281
2026-03-05T17:33:46,0.000,0.0,5.281
2026-03-05T17:34:46,0.000,0.0,5.281
2026-03-05T17:35:46,0.000,0.0,5.281
2026-03-05T17:36:46,0.000,0.0,5.281
2026-03-05T17:37:46,0.000,0.0,5.281
2026-03-05T17:38:46,0.000,0.0,5.281
2026-03-05T17:39:46,0.000,0.0,5.281
2026-03-05T17:40:46,0.000,0.0,5.281
2026-03-05T17:41:46,0.000,0.0,5.281
2026-03-05T17:42:46,0.000,0.0,5.281
2026-03-05T17:43:46,0.000,0.0,5.281
2026-03-05T17:44:46,0.000,0.0,5.281
2026-03-05T17:45:46,0.000,0.0,5.281
2026-03-05T17:46:46,0.000,0.0,5.281
2026-03-05T17:47:46,0.000,0.0,5.281
2026-03-05T17:48:46,0.000,0.0,5.281
2026-03-05T17:49:46,0.000,0.0,5.281
2026-03-05T17:50:46,0.000,0.0,5.281
2026-03-05T17:51:46,0.000,0.0,5.281
2026-03-05T17:52:46,0.000,0.0,5.281
2026-03-05T17:53:46,0.001,0.4,5.287
2026-03-05T17:54:46,0.001,0.3,5.293
2026-03-05T17:55:46,0.001,0.3,5.298
2026-03-05T17:56:46,0.005,2.1,5.332
2026-03-05T17:57:46,0.005,2.0,5.366
2026-03-05T17:58:46,0.012,4.7,5.444
2026-03-05T17:59:46,0.011,4.1,5.514
2026-03-05T18:00:46,0.006,2.4,5.554
2026-03-05T18:01:46,0.018,6.8,5.667
2026-03-05T18:02:46,0.002,0.7,5.678
2026-03-05T18:03:46,0.000,0.0,5.678
2026-03-05T18:04:46,0.005,1.7,5.707
2026-03-05T18:05:46,0.001,0.3,5.712
2026-03-05T18:06:46,0.002,0.7,5.724
2026-03-05T18:07:46,0.002,0.7,5.735
2026-03-05T18:08:46,0.000,0.0,5.735
2026-03-05T18:09:46,0.000,0.0,5.735
2026-03-05T18:10:46,0.000,0.0,5.735
2026-03-05T18:11:46,0.000,0.0,5.735
2026-03-05T18:12:46,0.000,0.0,5.735
2026-03-05T18:13:46,0.000,0.0,5.735
2026-03-05T18:14:46,0.001,0.3,5.740
2026-03-05T18:15:46,0.005,2.0,5.773
2026-03-05T18:16:46,0.003,1.1,5.791
2026-03-05T18:17:46,0.004,1.5,5.815
2026-03-05T18:18:46,0.051,19.2,6.136
2026-03-05T18:19:46,0.060,22.8,6.516
2026-03-05T18:20:46,0.065,24.5,6.924
2026-03-05T18:21:46,0.028,10.5,7.099
2026-03-05T18:22:46,0.038,14.5,7.340
2026-03-05T18:23:46,0.101,38.4,7.981
2026-03-05T18:24:46,0.114,43.3,8.703
2026-03-05T18:25:46,0.112,42.6,9.413
2026-03-05T18:26:46,0.110,41.7,10.108
